"month","media","checkouts"
2020-05-01,MUSIC,1
2020-05-01,REGPRINT,1
2020-05-01,SOUNDDISC,1
2020-05-01,VIDEO,252
2020-05-01,VIDEODISC,3
2020-04-01,AUDIOBOOK,119035
2020-04-01,BOOK,68
2020-04-01,EBOOK,235051
2020-04-01,MIXED,19
2020-04-01,REGPRINT,1
2020-04-01,SOUNDDISC,5
2020-04-01,VIDEO,382
2020-04-01,VIDEODISC,5
2020-03-01,ATLAS,33
2020-03-01,AUDIOBOOK,111029
2020-03-01,BOOK,213391
2020-03-01,CR,191
2020-03-01,EBOOK,210058
2020-03-01,ER,90
2020-03-01,"ER, NONPROJGRAPH",8
2020-03-01,"ER, PRINT",1
2020-03-01,"ER, SOUNDDISC",43
2020-03-01,"ER, VIDEODISC",34
2020-03-01,FLASHCARD,1
2020-03-01,"FLASHCARD, SOUNDDISC",1
2020-03-01,GLOBE,1
2020-03-01,LARGEPRINT,77
2020-03-01,MAP,37
2020-03-01,MIXED,760
2020-03-01,MUSIC,325
2020-03-01,NOTATEDMUSIC,1
2020-03-01,REGPRINT,1319
2020-03-01,"REGPRINT, SOUNDDISC",6
2020-03-01,"REGPRINT, VIDEOREC",2
2020-03-01,SOUNDCASS,1
2020-03-01,"SOUNDCASS, SOUNDDISC",2
2020-03-01,SOUNDDISC,16489
2020-03-01,"SOUNDDISC, VIDEODISC",153
2020-03-01,SOUNDREC,105
2020-03-01,UNSPECIFIED,12
2020-03-01,VIDEO,228
2020-03-01,VIDEOCART,2
2020-03-01,VIDEOCASS,5
2020-03-01,VIDEODISC,60308
2020-03-01,VIDEOREC,2
2020-03-01,VISUAL,17
2020-02-01,ATLAS,39
2020-02-01,AUDIOBOOK,117080
2020-02-01,BOOK,314900
2020-02-01,CR,240
2020-02-01,EBOOK,183789
2020-02-01,ER,145
2020-02-01,"ER, NONPROJGRAPH",2
2020-02-01,"ER, PRINT",1
2020-02-01,"ER, SOUNDDISC",60
2020-02-01,"ER, VIDEODISC",68
2020-02-01,"FLASHCARD, SOUNDDISC",1
2020-02-01,KIT,4
2020-02-01,LARGEPRINT,146
2020-02-01,MAP,58
2020-02-01,MICROFORM,1
2020-02-01,MIXED,2044
2020-02-01,MUSIC,598
2020-02-01,MUSICSNDREC,2
2020-02-01,NOTATEDMUSIC,2
2020-02-01,REGPRINT,1864
2020-02-01,"REGPRINT, SOUNDDISC",6
2020-02-01,"REGPRINT, VIDEOREC",2
2020-02-01,SOUNDCASS,2
2020-02-01,SOUNDDISC,32480
2020-02-01,"SOUNDDISC, SOUNDREC",2
2020-02-01,"SOUNDDISC, VIDEODISC",301
2020-02-01,SOUNDREC,93
2020-02-01,UNSPECIFIED,18
2020-02-01,VIDEO,144
2020-02-01,VIDEOCART,5
2020-02-01,VIDEOCASS,5
2020-02-01,VIDEODISC,104502
2020-02-01,VIDEOREC,5
2020-02-01,VISUAL,38
2020-01-01,ATLAS,29
2020-01-01,AUDIOBOOK,126290
2020-01-01,BOOK,340110
2020-01-01,CR,269
2020-01-01,EBOOK,198354
2020-01-01,ER,151
2020-01-01,"ER, NONPROJGRAPH",3
2020-01-01,"ER, SOUNDDISC",44
2020-01-01,"ER, VIDEODISC",74
2020-01-01,"ER, VIDEOREC",1
2020-01-01,"FLASHCARD, SOUNDDISC",3
2020-01-01,KIT,3
2020-01-01,LARGEPRINT,199
2020-01-01,MAP,47
2020-01-01,MICROFORM,3
2020-01-01,MIXED,2195
2020-01-01,MUSIC,670
2020-01-01,MUSICSNDREC,6
2020-01-01,NOTATEDMUSIC,1
2020-01-01,PHOTO,1
2020-01-01,REGPRINT,2124
2020-01-01,"REGPRINT, SOUNDDISC",7
2020-01-01,"REGPRINT, VIDEOREC",4
2020-01-01,SOUNDCASS,3
2020-01-01,SOUNDDISC,32976
2020-01-01,"SOUNDDISC, SOUNDREC",2
2020-01-01,"SOUNDDISC, VIDEODISC",263
2020-01-01,SOUNDREC,172
2020-01-01,UNSPECIFIED,14
2020-01-01,VIDEO,166
2020-01-01,VIDEOCART,4
2020-01-01,VIDEOCASS,7
2020-01-01,VIDEODISC,108948
2020-01-01,VIDEOREC,1
2020-01-01,VISUAL,34
2019-12-01,ATLAS,36
2019-12-01,AUDIOBOOK,116705
2019-12-01,BOOK,292864
2019-12-01,CR,233
2019-12-01,EBOOK,191468
2019-12-01,ER,96
2019-12-01,"ER, NONPROJGRAPH",1
2019-12-01,"ER, SOUNDDISC",60
2019-12-01,"ER, VIDEODISC",74
2019-12-01,"FLASHCARD, SOUNDDISC",3
2019-12-01,KIT,2
2019-12-01,LARGEPRINT,189
2019-12-01,MAP,45
2019-12-01,MIXED,1816
2019-12-01,MUSIC,595
2019-12-01,MUSICSNDREC,7
2019-12-01,NOTATEDMUSIC,5
2019-12-01,REGPRINT,2013
2019-12-01,"REGPRINT, SOUNDDISC",9
2019-12-01,"REGPRINT, VIDEOREC",2
2019-12-01,SOUNDCASS,2
2019-12-01,"SOUNDCASS, SOUNDDISC",1
2019-12-01,"SOUNDCASS, SOUNDDISC, SOUNDREC",1
2019-12-01,SOUNDDISC,31059
2019-12-01,"SOUNDDISC, VIDEODISC",281
2019-12-01,SOUNDREC,122
2019-12-01,UNSPECIFIED,16
2019-12-01,VIDEO,172
2019-12-01,VIDEOCART,8
2019-12-01,VIDEOCASS,10
2019-12-01,VIDEODISC,105833
2019-12-01,VIDEOREC,6
2019-12-01,VISUAL,34
2019-11-01,ATLAS,44
2019-11-01,AUDIOBOOK,110060
2019-11-01,BOOK,320760
2019-11-01,COMPFILE,1
2019-11-01,CR,226
2019-11-01,EBOOK,178938
2019-11-01,ER,96
2019-11-01,"ER, NONPROJGRAPH",3
2019-11-01,"ER, PRINT",1
2019-11-01,"ER, SOUNDDISC",64
2019-11-01,"ER, VIDEODISC",97
2019-11-01,"FLASHCARD, SOUNDDISC",2
2019-11-01,KIT,2
2019-11-01,LARGEPRINT,168
2019-11-01,MAP,51
2019-11-01,MICROFORM,14
2019-11-01,MIXED,2061
2019-11-01,MUSIC,661
2019-11-01,MUSICSNDREC,3
2019-11-01,NOTATEDMUSIC,2
2019-11-01,REGPRINT,2132
2019-11-01,"REGPRINT, SOUNDDISC",11
2019-11-01,"REGPRINT, VIDEOREC",4
2019-11-01,SOUNDCASS,3
2019-11-01,SOUNDDISC,32438
2019-11-01,"SOUNDDISC, SOUNDREC",2
2019-11-01,"SOUNDDISC, VIDEODISC",273
2019-11-01,SOUNDREC,159
2019-11-01,UNSPECIFIED,18
2019-11-01,VIDEO,150
2019-11-01,VIDEOCART,6
2019-11-01,VIDEOCASS,9
2019-11-01,VIDEODISC,102340
2019-11-01,VIDEOREC,3
2019-11-01,VISUAL,48
2019-10-01,ATLAS,49
2019-10-01,AUDIOBOOK,113781
2019-10-01,BOOK,331020
2019-10-01,CR,229
2019-10-01,EBOOK,180885
2019-10-01,ER,128
2019-10-01,"ER, NONPROJGRAPH",5
2019-10-01,"ER, PRINT",1
2019-10-01,"ER, REGPRINT",1
2019-10-01,"ER, SOUNDDISC",68
2019-10-01,"ER, VIDEODISC",94
2019-10-01,"FLASHCARD, SOUNDDISC",2
2019-10-01,GLOBE,1
2019-10-01,KIT,1
2019-10-01,LARGEPRINT,168
2019-10-01,MAP,49
2019-10-01,MICROFORM,1
2019-10-01,MIXED,2338
2019-10-01,MUSIC,619
2019-10-01,MUSICSNDREC,3
2019-10-01,NOTATEDMUSIC,3
2019-10-01,REGPRINT,2201
2019-10-01,"REGPRINT, SOUNDDISC",8
2019-10-01,"REGPRINT, VIDEOREC",3
2019-10-01,SOUNDCASS,4
2019-10-01,SOUNDDISC,33279
2019-10-01,"SOUNDDISC, VIDEODISC",262
2019-10-01,SOUNDREC,205
2019-10-01,UNSPECIFIED,16
2019-10-01,VIDEO,172
2019-10-01,VIDEOCART,3
2019-10-01,VIDEOCASS,10
2019-10-01,VIDEODISC,105459
2019-10-01,VIDEOREC,8
2019-10-01,VISUAL,38
2019-09-01,ATLAS,46
2019-09-01,AUDIOBOOK,109823
